window_start,Ion,Concentration,Stream
1989-09-22,nh4_ugl,NA,BQ2
1989-09-22,no3_ugl,419.1111111111111,BQ2
1989-09-22,ca_mgl,5.4175,BQ2
1989-11-24,k_mgl,1.2066666666666666,BQ2
1989-11-24,mg_mgl,3.1233333333333335,BQ2
1989-11-24,nh4_ugl,NA,BQ2
1989-11-24,no3_ugl,239.25,BQ2
1989-11-24,ca_mgl,6.613333333333333,BQ2
1990-01-26,k_mgl,1.3388888888888888,BQ2
1990-01-26,mg_mgl,3.0522222222222224,BQ2
1990-01-26,nh4_ugl,NA,BQ2
1990-01-26,no3_ugl,188,BQ2
1990-01-26,ca_mgl,6.53,BQ2
1990-03-30,k_mgl,1.3635714285714287,BQ2
1990-03-30,mg_mgl,2.4907142857142857,BQ2
1990-03-30,nh4_ugl,NA,BQ2
1990-03-30,no3_ugl,466.7692307692308,BQ2
1990-03-30,ca_mgl,5.1971428571428575,BQ2
1990-06-01,k_mgl,1.1311111111111112,BQ2
1990-06-01,mg_mgl,3.2088888888888887,BQ2
1990-06-01,nh4_ugl,NA,BQ2
1990-06-01,no3_ugl,232.77777777777777,BQ2
1990-06-01,ca_mgl,6.776666666666666,BQ2
1990-08-03,k_mgl,0.9255555555555556,BQ2
1990-08-03,mg_mgl,3.2244444444444444,BQ2
1990-08-03,nh4_ugl,NA,BQ2
1990-08-03,no3_ugl,121.11111111111113,BQ2
1990-08-03,ca_mgl,7.187777777777778,BQ2
1990-10-05,k_mgl,0.901,BQ2
1990-10-05,mg_mgl,2.712,BQ2
1990-10-05,nh4_ugl,NA,BQ2
1990-10-05,no3_ugl,164.7,BQ2
1990-10-05,ca_mgl,5.773,BQ2
1990-12-07,k_mgl,0.998,BQ2
1990-12-07,mg_mgl,3.08,BQ2
1990-12-07,nh4_ugl,NA,BQ2
1990-12-07,no3_ugl,182.11111111111111,BQ2
1990-12-07,ca_mgl,6.782,BQ2
1991-02-08,k_mgl,0.8255555555555556,BQ2
1991-02-08,mg_mgl,2.953333333333333,BQ2
1991-02-08,nh4_ugl,NA,BQ2
1991-02-08,no3_ugl,151.75,BQ2
1991-02-08,ca_mgl,6.815555555555555,BQ2
1991-04-12,k_mgl,1.0090000000000001,BQ2
1991-04-12,mg_mgl,2.834,BQ2
1991-04-12,nh4_ugl,NA,BQ2
1991-04-12,no3_ugl,35,BQ2
1991-04-12,ca_mgl,4.025,BQ2
1991-06-14,k_mgl,0.9955555555555555,BQ2
1991-06-14,mg_mgl,3.201111111111111,BQ2
1991-06-14,nh4_ugl,NA,BQ2
1991-06-14,no3_ugl,81,BQ2
1991-06-14,ca_mgl,5.316666666666666,BQ2
1991-08-16,k_mgl,1.42,BQ2
1991-08-16,mg_mgl,2.9859999999999998,BQ2
1991-08-16,nh4_ugl,NA,BQ2
1991-08-16,no3_ugl,88.2,BQ2
1991-08-16,ca_mgl,6.027,BQ2
1991-10-18,k_mgl,1.2725,BQ2
1991-10-18,mg_mgl,2.6675,BQ2
1991-10-18,nh4_ugl,NA,BQ2
1991-10-18,no3_ugl,221.08333333333331,BQ2
1991-10-18,ca_mgl,4.571666666666666,BQ2
1991-12-20,k_mgl,1.301,BQ2
1991-12-20,mg_mgl,2.956,BQ2
1991-12-20,nh4_ugl,NA,BQ2
1991-12-20,no3_ugl,284.9,BQ2
1991-12-20,ca_mgl,5.949,BQ2
1992-02-21,k_mgl,1.1222222222222222,BQ2
1992-02-21,mg_mgl,3.121111111111111,BQ2
1992-02-21,nh4_ugl,NA,BQ2
1992-02-21,no3_ugl,88.125,BQ2
1992-02-21,ca_mgl,5.852222222222222,BQ2
1992-04-24,k_mgl,1.2466666666666666,BQ2
1992-04-24,mg_mgl,2.482222222222222,BQ2
1992-04-24,nh4_ugl,NA,BQ2
1992-04-24,no3_ugl,124.875,BQ2
1992-04-24,ca_mgl,5.24,BQ2
1992-06-26,k_mgl,1.23,BQ2
1992-06-26,mg_mgl,3.26,BQ2
1992-06-26,nh4_ugl,NA,BQ2
1992-06-26,no3_ugl,108.22222222222223,BQ2
1992-06-26,ca_mgl,6.88,BQ2
1992-08-28,k_mgl,1.2677777777777777,BQ2
1992-08-28,mg_mgl,3.1655555555555557,BQ2
1992-08-28,nh4_ugl,NA,BQ2
1992-08-28,no3_ugl,49.125,BQ2
1992-08-28,ca_mgl,6.641111111111111,BQ2
1992-10-30,k_mgl,1.2144444444444444,BQ2
1992-10-30,mg_mgl,2.6044444444444443,BQ2
1992-10-30,nh4_ugl,NA,BQ2
1992-10-30,no3_ugl,66.28571428571429,BQ2
1992-10-30,ca_mgl,5.694444444444445,BQ2
1993-01-01,k_mgl,1.27,BQ2
1993-01-01,mg_mgl,3.181111111111111,BQ2
1993-01-01,nh4_ugl,NA,BQ2
1993-01-01,no3_ugl,135,BQ2
1993-01-01,ca_mgl,6.49,BQ2
1993-03-05,k_mgl,1.3044444444444445,BQ2
1993-03-05,mg_mgl,3.243333333333333,BQ2
1993-03-05,nh4_ugl,NA,BQ2
1993-03-05,no3_ugl,144,BQ2
1993-03-05,ca_mgl,6.347777777777778,BQ2
1993-05-07,k_mgl,1.468888888888889,BQ2
1993-05-07,mg_mgl,2.9611111111111112,BQ2
1993-05-07,nh4_ugl,NA,BQ2
1993-05-07,no3_ugl,72.75,BQ2
1993-05-07,ca_mgl,6.171111111111111,BQ2
